Type		Date    Hour	min_ask	  max_ask	avg_ask      min_bid	max_bid    avg_bid	direction(label)
EUR/USD		20150112 0	1.18616	  1.18701       1.18663      1.18609	1.18696	   1.18657	   1
EUR/USD		20150112 1	1.18513	  1.18672       1.18612      1.18507	1.1867	   1.18606	   -1
EUR/USD		20150112 2	1.18471	  1.18589       1.18544      1.18464	1.18581	   1.18537	   -1
EUR/USD		20150112 3	1.18458	  1.18633       1.18570      1.18451	1.18626	   1.18563	   1
EUR/USD		20150112 4	1.18505	  1.18573       1.18540      1.18498	1.18567	   1.18534	   -1
EUR/USD		20150112 5	1.18522	  1.18632       1.18572      1.18516	1.18626	   1.18566	   1
EUR/USD		20150112 6	1.18565	  1.18713       1.18635      1.18559	1.18706	   1.18629	   1
EUR/USD		20150112 7	1.18504	  1.18593       1.18550      1.185	1.18584	   1.18545	   -1
EUR/USD		20150112 8	1.18105	  1.18545       1.18290      1.18099	1.18542	   1.18285	   -1
EUR/USD		20150112 9	1.18056	  1.18248       1.18156      1.18051	1.18244	   1.18152	   -1
EUR/USD		20150112 10	1.17928	  1.18157       1.18012      1.17921	1.1815	   1.18008	   -1
EUR/USD		20150112 11	1.17887	  1.18088       1.18002      1.1788	1.18082	   1.17998	   -1
EUR/USD		20150112 12	1.17866	  1.18047       1.17953      1.17861	1.18042	   1.17949	   -1
EUR/USD		20150112 13	1.17896	  1.18266       1.18107      1.17891	1.18261	   1.18103	   1
EUR/USD		20150112 14	1.18105	  1.18451       1.18267      1.181	1.18448	   1.18263	   1
EUR/USD		20150112 15	1.18164	  1.18435       1.18298      1.18161	1.18429	   1.18294	   1
EUR/USD		20150112 16	1.18094	  1.18326       1.18194      1.1809	1.18321	   1.18190	   -1
EUR/USD		20150112 17	1.18175	  1.18316       1.18240      1.18169	1.18311	   1.18235	   1
EUR/USD		20150112 18	1.18256	  1.18453       1.18377      1.18255	1.18447	   1.18372	   1
EUR/USD		20150112 19	1.18378	  1.18462       1.18425      1.18373	1.18457	   1.18420	   1
EUR/USD		20150112 20	1.18334	  1.18408       1.18381      1.18329	1.18402	   1.18376	   -1
EUR/USD		20150112 21	1.18332	  1.18377       1.18349      1.18324	1.18372	   1.18342	   -1
EUR/USD		20150112 22	1.18294	  1.18347       1.18327      1.18279	1.1834	   1.18316	   -1
EUR/USD		20150113 23	1.18276	  1.18325       1.18297      1.18265	1.18315	   1.18288	   -1
EUR/USD		20150113 0	1.18236	  1.18436       1.18334      1.18229	1.1843	   1.18328	   1
EUR/USD		20150113 1	1.18356	  1.18488       1.18432      1.18353	1.18481	   1.18426	   1
EUR/USD		20150113 2	1.18387	  1.18464       1.18432      1.18379	1.18458	   1.18426	   -1
EUR/USD		20150113 3	1.18455	  1.18603       1.18543      1.18451	1.18595	   1.18537	   1
EUR/USD		20150113 4	1.18326	  1.18485       1.18416      1.18325	1.18475	   1.18410	   -1
EUR/USD		20150113 5	1.18242	  1.18387       1.18295      1.18235	1.18383	   1.18288	   -1
EUR/USD		20150113 6	1.18201	  1.18357       1.18280      1.18196	1.18349	   1.18274	   -1
EUR/USD		20150113 7	1.18294	  1.18525       1.18430      1.18284	1.18519	   1.18425	   1
EUR/USD		20150113 8	1.18175	  1.18507       1.18317      1.18171	1.18503	   1.18312	   -1
EUR/USD		20150113 9	1.17944	  1.18266       1.18089      1.17934	1.18261	   1.18084	   -1
EUR/USD		20150113 10	1.17898	  1.18115       1.17988      1.17891	1.1811	   1.17984	   -1
EUR/USD		20150113 11	1.17869	  1.18106       1.17982      1.17862	1.18099	   1.17978	   -1
EUR/USD		20150113 12	1.1776	  1.17989       1.17892      1.17747	1.17983	   1.17886	   -1
EUR/USD		20150113 13	1.17673	  1.17941       1.17795      1.17669	1.17938	   1.17791	   -1
EUR/USD		20150113 14	1.17565	  1.17802       1.17667      1.1756	1.17797	   1.17663	   -1
EUR/USD		20150113 15	1.17533	  1.17962       1.17745      1.17526	1.17955	   1.17741	   1
EUR/USD		20150113 16	1.17719	  1.18002       1.17851      1.17715	1.17996	   1.17846	   1
EUR/USD		20150113 17	1.17736	  1.17966       1.17850      1.17731	1.17961	   1.17845	   -1
EUR/USD		20150113 18	1.17661	  1.17885       1.17745      1.17654	1.17878	   1.17738	   -1
EUR/USD		20150113 19	1.17611	  1.17811       1.17701      1.17604	1.17807	   1.17696	   -1
EUR/USD		20150113 20	1.1759	  1.17747       1.17693      1.17586	1.17741	   1.17687	   -1
EUR/USD		20150113 21	1.17709	  1.17783       1.17747      1.17702	1.17776	   1.17739	   1
EUR/USD		20150113 22	1.17715	  1.1779       1.17763      1.17689	1.1777	   1.17746	   1
EUR/USD		20150114 23	1.17761	  1.17804       1.17780      1.17756	1.17794	   1.17771	   1
EUR/USD		20150114 0	1.17709	  1.17828       1.17771      1.17701	1.1782	   1.17764	   -1
EUR/USD		20150114 1	1.17646	  1.17741       1.17694      1.1764	1.17733	   1.17688	   -1
EUR/USD		20150114 2	1.17681	  1.17805       1.17738      1.17674	1.17798	   1.17732	   1
EUR/USD		20150114 3	1.17738	  1.17797       1.17768      1.17733	1.17793	   1.17761	   1
EUR/USD		20150114 4	1.17741	  1.17874       1.17812      1.17734	1.17867	   1.17806	   1
EUR/USD		20150114 5	1.17855	  1.17954       1.17909      1.17854	1.17945	   1.17902	   1
EUR/USD		20150114 6	1.17855	  1.17957       1.17916      1.17848	1.17951	   1.17909	   1
EUR/USD		20150114 7	1.17812	  1.18092       1.17974      1.17803	1.18085	   1.17969	   1
EUR/USD		20150114 8	1.17743	  1.18116       1.17947      1.17733	1.18111	   1.17941	   -1
EUR/USD		20150114 9	1.17278	  1.17972       1.17577      1.17272	1.17966	   1.17571	   -1
EUR/USD		20150114 10	1.17394	  1.1762       1.17549      1.17389	1.17615	   1.17545	   -1
EUR/USD		20150114 11	1.17379	  1.17605       1.17477      1.17374	1.176	   1.17472	   -1
EUR/USD		20150114 12	1.17436	  1.17609       1.17529      1.17431	1.17603	   1.17525	   1
EUR/USD		20150114 13	1.17557	  1.18469       1.18081      1.17551	1.18461	   1.18075	   1
EUR/USD		20150114 14	1.17883	  1.18402       1.18112      1.17877	1.18397	   1.18107	   1
EUR/USD		20150114 15	1.17719	  1.17975       1.17855      1.17713	1.17969	   1.17850	   -1
EUR/USD		20150114 16	1.17864	  1.18116       1.17993      1.17864	1.1811	   1.17988	   1
EUR/USD		20150114 17	1.17851	  1.18141       1.17986      1.17845	1.18137	   1.17981	   -1
EUR/USD		20150114 18	1.17799	  1.17931       1.17856      1.17794	1.17924	   1.17851	   -1
EUR/USD		20150114 19	1.17754	  1.1786       1.17813      1.17748	1.17858	   1.17808	   -1
EUR/USD		20150114 20	1.17769	  1.17928       1.17859      1.17764	1.17923	   1.17853	   1
EUR/USD		20150114 21	1.17811	  1.17912       1.17866      1.17801	1.17906	   1.17858	   1
EUR/USD		20150114 22	1.1786	  1.17941       1.17903      1.17832	1.17925	   1.17888	   1
EUR/USD		20150115 23	1.1784	  1.17907       1.17877      1.17835	1.17893	   1.17867	   -1
EUR/USD		20150115 0	1.17735	  1.17915       1.17796      1.17728	1.17905	   1.17789	   -1
EUR/USD		20150115 1	1.1773	  1.17811       1.17763      1.17724	1.17804	   1.17756	   -1
EUR/USD		20150115 2	1.17742	  1.17826       1.17787      1.17735	1.17817	   1.17781	   1
EUR/USD		20150115 3	1.17794	  1.1788       1.17834      1.17787	1.17875	   1.17828	   1
EUR/USD		20150115 4	1.17743	  1.17855       1.17805      1.17737	1.17848	   1.17799	   -1
EUR/USD		20150115 5	1.17651	  1.17769       1.17700      1.17647	1.17762	   1.17694	   -1
EUR/USD		20150115 6	1.17602	  1.17729       1.17653      1.17599	1.17723	   1.17647	   -1
EUR/USD		20150115 7	1.17686	  1.17867       1.17780      1.17678	1.17861	   1.17775	   1
EUR/USD		20150115 8	1.17504	  1.17778       1.17653      1.17497	1.17773	   1.17648	   -1
EUR/USD		20150115 9	1.15909	  1.17662       1.17061      1.15484	1.17657	   1.16990	   -1
EUR/USD		20150115 10	1.16682	  1.17754       1.17157      1.1667	1.17731	   1.17134	   1
EUR/USD		20150115 11	1.16675	  1.17335       1.17031      1.16647	1.17323	   1.17018	   -1
EUR/USD		20150115 12	1.16811	  1.17496       1.17075      1.16781	1.1746	   1.17038	   1
EUR/USD		20150115 13	1.16914	  1.1743       1.17075      1.16872	1.17407	   1.17064	   1
EUR/USD		20150115 14	1.16181	  1.17044       1.16575      1.16175	1.17034	   1.16567	   -1
EUR/USD		20150115 15	1.15857	  1.16464       1.16215      1.15854	1.16452	   1.16207	   -1
EUR/USD		20150115 16	1.15683	  1.16104       1.15885      1.15673	1.16098	   1.15877	   -1
EUR/USD		20150115 17	1.1593	  1.16106       1.16024      1.15918	1.161	   1.16015	   1
EUR/USD		20150115 18	1.15991	  1.16365       1.16211      1.15979	1.16354	   1.16201	   1
EUR/USD		20150115 19	1.16034	  1.1622       1.16125      1.16024	1.16207	   1.16115	   -1
EUR/USD		20150115 20	1.16066	  1.16237       1.16164      1.16054	1.16226	   1.16154	   1
EUR/USD		20150115 21	1.16075	  1.16385       1.16232      1.16062	1.16351	   1.16213	   1
EUR/USD		20150115 22	1.16194	  1.16385       1.16289      1.1615	1.16348	   1.16248	   1
EUR/USD		20150116 23	1.1625	  1.16405       1.16353      1.1625	1.16387	   1.16328	   1
EUR/USD		20150116 0	1.16119	  1.16399       1.16252      1.16106	1.16384	   1.16240	   -1
EUR/USD		20150116 1	1.16008	  1.16303       1.16201      1.15996	1.16294	   1.16192	   -1
EUR/USD		20150116 2	1.16265	  1.164       1.16340      1.16262	1.16391	   1.16333	   1
EUR/USD		20150116 3	1.16319	  1.16473       1.16402      1.16314	1.1646	   1.16394	   1
EUR/USD		20150116 4	1.16308	  1.16417       1.16354      1.16299	1.1641	   1.16345	   -1
EUR/USD		20150116 5	1.16259	  1.16367       1.16312      1.16251	1.16356	   1.16304	   -1
EUR/USD		20150116 6	1.16219	  1.16433       1.16335      1.16212	1.16423	   1.16327	   1
EUR/USD		20150116 7	1.1624	  1.16493       1.16399      1.16238	1.16486	   1.16392	   1
EUR/USD		20150116 8	1.16125	  1.16465       1.16350      1.1612	1.16461	   1.16343	   -1
EUR/USD		20150116 9	1.16124	  1.1638       1.16260      1.16111	1.16371	   1.16252	   -1
EUR/USD		20150116 10	1.15955	  1.16351       1.16151      1.15945	1.16351	   1.16145	   -1
EUR/USD		20150116 11	1.15761	  1.16047       1.15897      1.15753	1.16041	   1.15892	   -1
EUR/USD		20150116 12	1.15807	  1.15976       1.15896      1.15801	1.1597	   1.15889	   -1
EUR/USD		20150116 13	1.15746	  1.16205       1.15910      1.15738	1.16088	   1.15903	   1
EUR/USD		20150116 14	1.15383	  1.15864       1.15566      1.15379	1.15858	   1.15560	   -1
EUR/USD		20150116 15	1.14605	  1.1556       1.15113      1.14596	1.15521	   1.15107	   -1
EUR/USD		20150116 16	1.14895	  1.15283       1.15105      1.14889	1.15278	   1.15099	   -1
EUR/USD		20150116 17	1.15121	  1.15487       1.15319      1.15112	1.15478	   1.15312	   1
EUR/USD		20150116 18	1.1532	  1.15673       1.15515      1.15313	1.15668	   1.15507	   1
EUR/USD		20150116 19	1.15335	  1.15861       1.15563      1.15324	1.15849	   1.15555	   1
EUR/USD		20150116 20	1.15632	  1.15899       1.15738      1.15622	1.15889	   1.15729	   1
EUR/USD		20150116 21	1.15547	  1.15774       1.15650      1.15522	1.15736	   1.15625	   -1
EUR/USD		20150119 22	1.15754	  1.16945       1.16619      1.14393	1.15561	   1.14730	   -1
EUR/USD		20150119 0	1.15537	  1.15666       1.15603      1.15528	1.15656	   1.15594	   1
EUR/USD		20150119 1	1.15585	  1.15747       1.15679      1.15576	1.15738	   1.15671	   1
EUR/USD		20150119 2	1.15563	  1.15748       1.15624      1.15558	1.15737	   1.15617	   -1
EUR/USD		20150119 3	1.15545	  1.15622       1.15583      1.15536	1.15615	   1.15576	   -1
EUR/USD		20150119 4	1.15549	  1.15626       1.15584      1.15544	1.15619	   1.15578	   1
EUR/USD		20150119 5	1.15535	  1.1563       1.15577      1.15529	1.15624	   1.15570	   -1
EUR/USD		20150119 6	1.15525	  1.15717       1.15603      1.15518	1.15708	   1.15596	   1
EUR/USD		20150119 7	1.15554	  1.15861       1.15724      1.15547	1.15856	   1.15718	   1
EUR/USD		20150119 8	1.15519	  1.15926       1.15737      1.15512	1.1592	   1.15732	   1
EUR/USD		20150119 9	1.15819	  1.16286       1.16065      1.15814	1.16283	   1.16060	   1
EUR/USD		20150119 10	1.159	  1.16161       1.16018      1.15895	1.16159	   1.16013	   -1
EUR/USD		20150119 11	1.15862	  1.16086       1.15962      1.15855	1.16081	   1.15957	   -1
EUR/USD		20150119 12	1.15859	  1.16116       1.16013      1.15852	1.16111	   1.16007	   1
EUR/USD		20150119 13	1.16005	  1.16236       1.16122      1.16004	1.16232	   1.16117	   1
